name,type,description,color,hp,attacks_name_1,attacks_name_2,attacks_cost_1,attacks_cost_2,attacks_damage_1,attacks_damage_2,attacks_description_1,attacks_description_2,abilities_name_1,abilities_description_1,retreat,weakness,rarity,stage,evolves_from,illustrator,setId,card_number,url
Weezing,Pokemon,,Darkness,110,Tackle,,['darkness'],,30.0,,,,Gas Leak,"Once during your turn, if this Pokémon is in the Active Spot, you may make your opponent's Active Pokémon Poisoned.",3,Fighting,Art Rare,Stage 1,Koffing,KEIICHIRO ITO,A1,243,https://ptcgpocket.gg/cards/a1-243-weezing
Dragonite,Pokemon,,Dragon,160,,,"['water', 'lightning', 'colorless', 'colorless']",,,,"1 of your opponent's Pokémon is chosen at random 4 times. For each time a Pokémon was chosen, do 50 damage to it.",,,,3,,Art Rare,Stage 2,Dragonair,Gemi,A1,244,https://ptcgpocket.gg/cards/a1-244-dragonite
Meowth,Pokemon,,Colorless,60,Pay Day,,['colorless'],,10.0,,Draw 1 card.,,,,1,Fighting,Art Rare,Basic,,Mina Nakai,A1,246,https://ptcgpocket.gg/cards/a1-246-meowth
Ditto,Pokemon,,Colorless,70,,,['colorless'],,,,"Choose 1 of your opponent's Pokémon's attacks and use it as this attack. If this Pokémon doesn't have the necessary Energy to use that attack, this attack does nothing.",,,,1,Fighting,Art Rare,Basic,,Jerky,A1,247,https://ptcgpocket.gg/cards/a1-247-ditto
Eevee,Pokemon,,Colorless,60,Tackle,,['colorless'],,20.0,,,,,,1,Fighting,Art Rare,Basic,,sowsow,A1,248,https://ptcgpocket.gg/cards/a1-248-eevee
Porygon,Pokemon,,Colorless,50,Sharpen,,['colorless'],,20.0,,,,Data Scan,"Once during your turn, you may look at the top card of your deck.",1,Fighting,Art Rare,Basic,,Akira Komayama,A1,249,https://ptcgpocket.gg/cards/a1-249-porygon
Snorlax,Pokemon,,Colorless,150,Rollout,,"['colorless', 'colorless', 'colorless', 'colorless']",,70.0,,,,,,4,Fighting,Art Rare,Basic,,HYOGONOSUKE,A1,250,https://ptcgpocket.gg/cards/a1-250-snorlax
Venusaur ex,Pokemon,,Grass,190,Razor Leaf,Giant Bloom,"['grass', 'colorless', 'colorless']","['grass', 'grass', 'colorless', 'colorless']",60.0,100.0,,Heal 30 damage from this Pokémon.,,,3,Fire,Super Rare,Stage 2,Ivysaur,PLANETA CG Works,A1,251,https://ptcgpocket.gg/cards/a1-251-venusaurex
Exeggutor ex,Pokemon,,Grass,160,,,['grass'],,,,"Flip a coin. If heads, this attack does 40 more damage.",,,,3,Fire,Super Rare,Stage 1,Exeggcute,PLANETA CG Works,A1,252,https://ptcgpocket.gg/cards/a1-252-exeggutorex
Charizard ex,Pokemon,,Fire,180,Slash,Crimson Storm,"['fire', 'colorless', 'colorless']","['fire', 'fire', 'colorless', 'colorless']",60.0,200.0,,Discard 2 fire Energy from this Pokémon.,,,2,Water,Super Rare,Stage 2,Charmeleon,PLANETA CG Works,A1,253,https://ptcgpocket.gg/cards/a1-253-charizardex
Arcanine ex,Pokemon,,Fire,150,Inferno Onrush,,"['fire', 'fire', 'colorless']",,120.0,,This Pokémon also does 20 damage to itself.,,,,2,Water,Super Rare,Stage 1,Growlithe,PLANETA Saito,A1,254,https://ptcgpocket.gg/cards/a1-254-arcanineex
Moltres ex,Pokemon,,Fire,140,Heat Blast,,"['fire', 'colorless']",,70.0,,Flip 3 coins. Take an amount of colorless Energy from your Energy Zone equal to the number of heads and attach it to your Benched,,,,2,Lightning,Super Rare,Basic,,PLANETA Saito,A1,255,https://ptcgpocket.gg/cards/a1-255-moltresex
Blastoise ex,Pokemon,,Water,180,Surf,,"['water', 'colorless']","['water', 'water', 'colorless']",40.0,,,"If this Pokémon has at least 2 extra water Energy attached, this attack does 60 more damage.",,,3,Lightning,Super Rare,Stage 2,Wartortle,PLANETA CG Works,A1,256,https://ptcgpocket.gg/cards/a1-256-blastoiseex
Starmie ex,Pokemon,,Water,130,Hydro Splash,,"['water', 'water']",,90.0,,,,,,0,Lightning,Super Rare,Stage 1,Staryu,PLANETA Igarashi,A1,257,https://ptcgpocket.gg/cards/a1-257-starmieex
Articuno ex,Pokemon,,Water,140,Ice Wing,Blizzard,"['water', 'colorless']","['water', 'water', 'water']",40.0,80.0,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,,,2,Lightning,Super Rare,Basic,,PLANETA Saito,A1,258,https://ptcgpocket.gg/cards/a1-258-articunoex
Pikachu ex,Pokemon,,Lightning,120,,,"['lightning', 'lightning', 'lightning']",,,,This attack does 30 damage for each of your Benched  Pokémon.,,,,1,Fighting,Super Rare,Basic,,PLANETA CG Works,A1,259,https://ptcgpocket.gg/cards/a1-259-pikachuex
Zapdos ex,Pokemon,,Lightning,130,Peck,,['lightning'],"['lightning', 'lightning', 'lightning']",20.0,,,Flip 4 coins. This attack does 50 damage for each heads.,,,1,Lightning,Super Rare,Basic,,PLANETA Saito,A1,260,https://ptcgpocket.gg/cards/a1-260-zapdosex
Gengar ex,Pokemon,,Psychic,170,Spooky Shot,,"['psychic', 'psychic', 'psychic']",,100.0,,,,Shadowy Spellbind,"As long as this Pokémon is in the Active Spot, your opponent can't use any Supporter cards from their hand.",2,Darkness,Super Rare,Stage 2,Haunter,PLANETA CG Works,A1,261,https://ptcgpocket.gg/cards/a1-261-gengarex
Mewtwo ex,Pokemon,,Psychic,150,Psychic Sphere,Psydrive,"['psychic', 'colorless']","['psychic', 'psychic', 'colorless', 'colorless']",50.0,150.0,,Discard 2 psychic Energy from this Pokémon.,,,2,Darkness,Super Rare,Basic,,PLANETA Mochizuki,A1,262,https://ptcgpocket.gg/cards/a1-262-mewtwoex
Machamp ex,Pokemon,,Fighting,180,Mega Punch,,"['fighting', 'fighting', 'fighting']",,120.0,,,,,,3,Psychic,Super Rare,Stage 2,Machoke,PLANETA Igarashi,A1,263,https://ptcgpocket.gg/cards/a1-263-machampex
Marowak ex,Pokemon,,Fighting,140,,,"['fighting', 'fighting']",,,,Flip 2 coins. This attack does 80 damage for each heads.,,,,1,Grass,Super Rare,Stage 1,Cubone,PLANETA Mochizuki,A1,264,https://ptcgpocket.gg/cards/a1-264-marowakex
Wigglytuff ex,Pokemon,,Colorless,140,Sleepy Song,,"['colorless', 'colorless', 'colorless']",,80.0,,Your opponent's Active Pokémon is now Asleep.,,,,2,Fighting,Super Rare,Stage 1,Jigglypuff,PLANETA Igarashi,A1,265,https://ptcgpocket.gg/cards/a1-265-wigglytuffex
Erika,Supporter,Heal 50 damage from 1 of your grass Pokémon.,,,,,,,,,,,,,,,Super Rare,,,saino misaki,A1,266,https://ptcgpocket.gg/cards/a1-266-erika
Misty,Pokemon,,No Color,0,,,,,,,,,,,,,Super Rare,Supporter,,Sanosuke Sakuma,A1,267,https://ptcgpocket.gg/cards/a1-267-misty
Blaine,Supporter,"During this turn, attacks used by your Ninetales, Rapidash, or Magmar do +30 damage to your opponent's Active Pokémon.",,,,,,,,,,,,,,,Super Rare,,,GOSSAN,A1,268,https://ptcgpocket.gg/cards/a1-268-blaine
Koga,Supporter,Put your Muk or Weezing in the Active Spot into your hand.,,,,,,,,,,,,,,,Super Rare,,,Souichirou Gunjima,A1,269,https://ptcgpocket.gg/cards/a1-269-koga
Giovanni,Supporter,"During this turn, attacks used by your Pokémon do +10 damage to your opponent's Active Pokémon.",,,,,,,,,,,,,,,Super Rare,,,Hideki Ishikawa,A1,270,https://ptcgpocket.gg/cards/a1-270-giovanni
Brock,Supporter,Take a fighting Energy from your Energy Zone and attach it to Golem or Onix.,,,,,,,,,,,,,,,Super Rare,,,Ryuta Fuse,A1,271,https://ptcgpocket.gg/cards/a1-271-brock
Sabrina,Supporter,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.),,,,,,,,,,,,,,,Super Rare,,,GIDORA,A1,272,https://ptcgpocket.gg/cards/a1-272-sabrina
Lt-surge,Supporter,"Move all lightning Energy from your Benched Pokémon to your Raichu, Electrode, or Electabuzz in the Active Spot.",,,,,,,,,,,,,,,Super Rare,,,nagimiso,A1,273,https://ptcgpocket.gg/cards/a1-273-lt-surge
Moltres ex,Pokemon,,Fire,140,Heat Blast,,"['fire', 'colorless']",,70.0,,Flip 3 coins. Take an amount of colorless Energy from your Energy Zone equal to the number of heads and attach it to your Benched,,,,2,Lightning,Special Art Rare,Basic,,hncl,A1,274,https://ptcgpocket.gg/cards/a1-274-moltresex
Articuno ex,Pokemon,,Water,140,Ice Wing,Blizzard,"['water', 'colorless']","['water', 'water', 'water']",40.0,80.0,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,,,2,Lightning,Special Art Rare,Basic,,kodama,A1,275,https://ptcgpocket.gg/cards/a1-275-articunoex
Zapdos ex,Pokemon,,Lightning,130,Peck,,['lightning'],"['lightning', 'lightning', 'lightning']",20.0,,,Flip 4 coins. This attack does 50 damage for each heads.,,,1,Lightning,Special Art Rare,Basic,,GOSSAN,A1,276,https://ptcgpocket.gg/cards/a1-276-zapdosex
Gengar ex,Pokemon,,Psychic,170,Spooky Shot,,"['psychic', 'psychic', 'psychic']",,100.0,,,,Shadowy Spellbind,"As long as this Pokémon is in the Active Spot, your opponent can't use any Supporter cards from their hand.",2,Darkness,Special Art Rare,Stage 2,Haunter,NC Empire,A1,277,https://ptcgpocket.gg/cards/a1-277-gengarex
Machamp ex,Pokemon,,Fighting,180,Mega Punch,,"['fighting', 'fighting', 'fighting']",,120.0,,,,,,3,Psychic,Special Art Rare,Stage 2,Machoke,AKIRA EGAWA,A1,278,https://ptcgpocket.gg/cards/a1-278-machampex
Wigglytuff ex,Pokemon,,Colorless,140,Sleepy Song,,"['colorless', 'colorless', 'colorless']",,80.0,,Your opponent's Active Pokémon is now Asleep.,,,,2,Fighting,Special Art Rare,Stage 1,Jigglypuff,Shibuzoh.,A1,279,https://ptcgpocket.gg/cards/a1-279-wigglytuffex
Charizard ex,Pokemon,,Fire,180,Slash,Crimson Storm,"['fire', 'colorless', 'colorless']","['fire', 'fire', 'colorless', 'colorless']",60.0,200.0,,Discard 2 fire Energy from this Pokémon.,,,2,Water,Immersive Rare,Stage 2,Charmeleon,kantaro,A1,280,https://ptcgpocket.gg/cards/a1-280-charizardex
Pikachu ex,Pokemon,,Lightning,120,,,"['lightning', 'lightning', 'lightning']",,,,This attack does 30 damage for each of your Benched  Pokémon.,,,,1,Fighting,Immersive Rare,Basic,,Ryota Murayama,A1,281,https://ptcgpocket.gg/cards/a1-281-pikachuex
Exeggcute,Pokemon,,Grass,50,,,['colorless'],,,,Take a grass Energy from your Energy Zone and attach it to this Pokémon.,,,,1,Fire,Common,Basic,,Yuka Morii,A1a,1,https://ptcgpocket.gg/cards/a1a-1-exeggcute
Exeggutor,Pokemon,,Grass,130,,,"['grass', 'colorless', 'colorless', 'colorless']",,,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,,,,3,Fire,Uncommon,Stage 1,Exeggcute,Masakazu Fukuda,A1a,2,https://ptcgpocket.gg/cards/a1a-2-exeggutor
Celebi-ex,Pokemon,,Grass,130,,,"['grass', 'colorless']",,,,Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,,,,1,Fire,Double Rare,Basic,,PLANETA CG Works,A1a,3,https://ptcgpocket.gg/cards/a1a-3-celebi-ex
Snivy,Pokemon,,Grass,70,Vine Whip,,"['grass', 'colorless']",,40.0,,,,,,1,Fire,Common,Basic,,Kagemaru Himeno,A1a,4,https://ptcgpocket.gg/cards/a1a-4-snivy
Servine,Pokemon,,Grass,80,Vine Whip,,"['grass', 'colorless']",,50.0,,,,,,1,Fire,Uncommon,Stage 1,Snivy,Shigenori Negishi,A1a,5,https://ptcgpocket.gg/cards/a1a-5-servine
Serperior,Pokemon,,Grass,110,Solar Beam,Pokémon provides,"['grass', 'colorless', 'colorless', 'colorless']",,70.0,2.0,,,Jungle Totem,Each grass Energy attached to your grass Pokémon provides 2 grass Energy. This effect doesn't stack.,2,Fire,Rare,Stage 2,Servine,Yoshioka,A1a,6,https://ptcgpocket.gg/cards/a1a-6-serperior
Morelull,Pokemon,,Grass,60,Ram,,['grass'],,20.0,,,,,,1,Fire,Common,Basic,,Saya Tsuruta,A1a,7,https://ptcgpocket.gg/cards/a1a-7-morelull
Shiinotic,Pokemon,,Grass,90,Flickering Spores,,"['grass', 'grass']",,50.0,,Your opponent's Active Pokémon is now Asleep.,,,,2,Fire,Uncommon,Stage 1,Morelull,Mizue,A1a,8,https://ptcgpocket.gg/cards/a1a-8-shiinotic
Ponyta,Pokemon,,Fire,60,,,['fire'],,,,"Flip a coin. If heads, this attack does 30 more damage.",,,,1,Water,Common,Basic,,Tomokazu Komiya,A1a,10,https://ptcgpocket.gg/cards/a1a-10-ponyta
Rapidash,Pokemon,,Fire,100,,,"['fire', 'colorless']",,,,"Flip a coin. If heads, this attack does 60 more damage.",,,,1,Water,Uncommon,Stage 1,Ponyta,AKIRA EGAWA,A1a,11,https://ptcgpocket.gg/cards/a1a-11-rapidash
Magmar,Pokemon,,Fire,80,Fire Blast,,"['fire', 'fire']",,80.0,,Discard 2 fire Energy from this Pokémon.,,,,2,Water,Uncommon,Basic,,sui,A1a,12,https://ptcgpocket.gg/cards/a1a-12-magmar
Larvesta,Pokemon,,Fire,80,Combustion,,"['fire', 'colorless']",,30.0,,,,,,2,Water,Common,Basic,,kawayoo,A1a,13,https://ptcgpocket.gg/cards/a1a-13-larvesta
Volcarona,Pokemon,,Fire,120,,,"['fire', 'fire', 'colorless']",,,,Discard 2 fire Energy from this Pokémon. This attack does 80 damage to 1 of your opponent's Pokémon.,,,,2,Water,Rare,Stage 1,Larvesta,DOM,A1a,14,https://ptcgpocket.gg/cards/a1a-14-volcarona
Salandit,Pokemon,,Fire,60,,,['colorless'],,,,"If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.",,,,1,Water,Common,Basic,,Naoki Saito,A1a,15,https://ptcgpocket.gg/cards/a1a-15-salandit
Salazzle,Pokemon,,Fire,80,Poison Claws,,['fire'],,30.0,,Your opponent's Active Pokémon is now Poisoned.,,,,1,Water,Common,Stage 1,Salandit,Mitsuhiro Arita,A1a,16,https://ptcgpocket.gg/cards/a1a-16-salazzle
Magikarp,Pokemon,,Water,30,,,['water'],,,,Switch this Pokémon with 1 of your Benched Pokémon.,,,,1,Lightning,Common,Basic,,Mitsuhiro Arita,A1a,17,https://ptcgpocket.gg/cards/a1a-17-magikarp
Gyarados-ex,Pokemon,,Water,180,Rampaging Whirlpool,,"['water', 'water', 'water', 'colorless']",,140.0,,Discard a random Energy from among the Energy attached to all Pokémon (both yours and your opponent's).,,,,3,Lightning,Double Rare,Stage 1,Magikarp,PLANETA CG Works,A1a,18,https://ptcgpocket.gg/cards/a1a-18-gyarados-ex
Vaporeon,Pokemon,,Water,120,Wave Splash,,"['water', 'colorless', 'colorless']",,60.0,,,,Wash Out,"As often as you like during your turn, you may move a water Energy from 1 of your Benched water Pokémon to your Active water Pokémon.",2,Lightning,Rare,Stage 1,Eevee,LINNE,A1a,19,https://ptcgpocket.gg/cards/a1a-19-vaporeon
Finneon,Pokemon,,Water,60,Water Gun,,['water'],,20.0,,,,,,1,Lightning,Common,Basic,,sui,A1a,20,https://ptcgpocket.gg/cards/a1a-20-finneon
Lumineon,Pokemon,,Water,80,,,"['water', 'water']",,,,This attack does 50 damage to 1 of your opponent's Benched Pokémon.,,,,0,Lightning,Uncommon,Stage 1,Finneon,Sekio,A1a,21,https://ptcgpocket.gg/cards/a1a-21-lumineon
Chewtle,Pokemon,,Water,80,Bite,,"['water', 'colorless']",,30.0,,,,,,2,Lightning,Common,Basic,,Taiga Kayama,A1a,22,https://ptcgpocket.gg/cards/a1a-22-chewtle
Drednaw,Pokemon,,Water,130,Crunch,,"['water', 'water', 'water']",,70.0,,"Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.",,,,3,Lightning,Uncommon,Stage 1,Chewtle,nisimono,A1a,23,https://ptcgpocket.gg/cards/a1a-23-drednaw
Cramorant,Pokemon,,Water,80,Dive,,"['water', 'water', 'colorless']",,60.0,,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.",,,,1,Lightning,Common,Basic,,Jerky,A1a,24,https://ptcgpocket.gg/cards/a1a-24-cramorant
Pikachu,Pokemon,,Lightning,60,,,"['lightning', 'lightning']",,,,This attack does 10 damage for each of your Benched  Pokémon.,,,,1,Fighting,Common,Basic,,Naoyo Kimura,A1a,25,https://ptcgpocket.gg/cards/a1a-25-pikachu
Raichu,Pokemon,,Lightning,120,Gigashock,,"['lightning', 'lightning', 'lightning']",,60.0,,This attack also does 20 damage to each of your opponent's Benched Pokémon.,,,,2,Fighting,Rare,Stage 1,Pikachu,hncl,A1a,26,https://ptcgpocket.gg/cards/a1a-26-raichu
Electabuzz,Pokemon,,Lightning,70,,,"['lightning', 'lightning']",,,,This attack does 40 damage to 1 of your opponent's Pokémon.,,,,1,Fighting,Uncommon,Basic,,Naoyo Kimura,A1a,27,https://ptcgpocket.gg/cards/a1a-27-electabuzz
Joltik,Pokemon,,Lightning,40,Bug Bite,,['lightning'],,30.0,,,,,,1,Fighting,Common,Basic,,MINAMINAMI Take,A1a,28,https://ptcgpocket.gg/cards/a1a-28-joltik
Galvantula,Pokemon,,Lightning,80,Electroweb,,"['lightning', 'lightning']",,70.0,,"During your opponent's next turn, the Defending Pokémon can't retreat.",,,,1,Fighting,Uncommon,Stage 1,Joltik,Mitsuhiro Arita,A1a,29,https://ptcgpocket.gg/cards/a1a-29-galvantula
Dedenne,Pokemon,,Lightning,60,Thunder Shock,,['lightning'],,10.0,,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",,,,1,Fighting,Common,Basic,,Taiga Kayama,A1a,30,https://ptcgpocket.gg/cards/a1a-30-dedenne
Mew,Pokemon,,Psychic,60,Psy Report,,['psychic'],,20.0,,Your opponent reveals their hand.,,,,1,Darkness,Rare,Basic,,Saya Tsuruta,A1a,31,https://ptcgpocket.gg/cards/a1a-31-mew
Mew-ex,Pokemon,,Psychic,130,Psyshot,,['psychic'],"['colorless', 'colorless', 'colorless']",20.0,,,Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.,,,1,Darkness,Double Rare,Basic,,PLANETA CG Works,A1a,32,https://ptcgpocket.gg/cards/a1a-32-mew-ex
Sigilyph,Pokemon,,Psychic,80,Spike Draw,,['psychic'],,10.0,,Draw a card.,,,,1,Darkness,Uncommon,Basic,,Shigenori Negishi,A1a,33,https://ptcgpocket.gg/cards/a1a-33-sigilyph
Elgyem,Pokemon,,Psychic,60,Headbutt,,['psychic'],,20.0,,,,,,1,Darkness,Common,Basic,,Kouki Saitou,A1a,34,https://ptcgpocket.gg/cards/a1a-34-elgyem
Beheeyem,Pokemon,,Psychic,90,,,['psychic'],,,,This attack does 20 more damage for each of your opponent's Benched Pokémon.,,,,1,Darkness,Uncommon,Stage 1,Elgyem,sowsow,A1a,35,https://ptcgpocket.gg/cards/a1a-35-beheeyem
Floette,Pokemon,,Psychic,70,Leaf Drain,,['psychic'],,40.0,,Heal 10 damage from this Pokémon.,,,,1,Metal,Common,Stage 1,Flabébé,Cona Nitanda,A1a,37,https://ptcgpocket.gg/cards/a1a-37-floette
Florges,Pokemon,,Psychic,120,Bloomshine,,"['psychic', 'psychic']",,80.0,,Heal 20 damage from each of your Pokémon.,,,,1,Metal,Uncommon,Stage 2,Floette,Cona Nitanda,A1a,38,https://ptcgpocket.gg/cards/a1a-38-florges
Swirlix,Pokemon,,Psychic,60,Fairy Wind,,['psychic'],,20.0,,,,,,1,Metal,Common,Basic,,5ban Graphics,A1a,39,https://ptcgpocket.gg/cards/a1a-39-swirlix
Slurpuff,Pokemon,,Psychic,100,Magical Shot,,"['psychic', 'colorless']",,60.0,,,,,,2,Metal,Common,Stage 1,Swirlix,Kagemaru Himeno,A1a,40,https://ptcgpocket.gg/cards/a1a-40-slurpuff
Mankey,Pokemon,,Fighting,50,Focus Fist,,['fighting'],,50.0,,"Flip a coin. If tails, this attack does nothing.",,,,1,Psychic,Common,Basic,,Akira Komayama,A1a,41,https://ptcgpocket.gg/cards/a1a-41-mankey
Primeape,Pokemon,,Fighting,80,Punch,,['fighting'],,50.0,,,,,,1,Psychic,Common,Stage 1,Mankey,Taiga Kayama,A1a,42,https://ptcgpocket.gg/cards/a1a-42-primeape
Geodude,Pokemon,,Fighting,70,Light Punch,,"['fighting', 'colorless']",,30.0,,,,,,2,Grass,Common,Basic,,GOSSAN,A1a,43,https://ptcgpocket.gg/cards/a1a-43-geodude
Graveler,Pokemon,,Fighting,100,Lunge Out,,"['fighting', 'colorless']",,40.0,,,,,,3,Grass,Uncommon,Stage 1,Geodude,Ayaka Yoshida,A1a,44,https://ptcgpocket.gg/cards/a1a-44-graveler
Golem,Pokemon,,Fighting,160,Guard Press,,"['fighting', 'fighting', 'fighting', 'colorless']",,120.0,,"During your opponent's next turn, this Pokémon takes −30 damage from attacks.",,,,3,Grass,Rare,Stage 2,Graveler,Masakazu Fukuda,A1a,45,https://ptcgpocket.gg/cards/a1a-45-golem
Aerodactyl-ex,Pokemon,,Fighting,140,Land Crush,,"['fighting', 'colorless']",,80.0,,,,Primeval Law,Your opponent can't play any Pokémon from their hand to evolve their Active Pokémon.,1,Lightning,Double Rare,Stage 1,,PLANETA CG Works,A1a,46,https://ptcgpocket.gg/cards/a1a-46-aerodactyl-ex
Marshadow,Pokemon,,Fighting,80,,,"['fighting', 'colorless']",,,,"If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.",,,,1,Psychic,Rare,Basic,,kantaro,A1a,47,https://ptcgpocket.gg/cards/a1a-47-marshadow
Stonjourner,Pokemon,,Fighting,120,Mega Kick,,"['fighting', 'fighting', 'fighting']",,90.0,,,,,,3,Grass,Uncommon,Basic,,Teeziro,A1a,48,https://ptcgpocket.gg/cards/a1a-48-stonjourner
Koffing,Pokemon,,Darkness,70,,,['darkness'],,,,Put 1 random Koffing from your deck onto your Bench.,,,,2,Fighting,Common,Basic,,Naoyo Kimura,A1a,49,https://ptcgpocket.gg/cards/a1a-49-koffing
Weezing,Pokemon,,Darkness,110,Smokescreen,,"['darkness', 'darkness']",,50.0,,"During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.",,,,3,Fighting,Uncommon,Stage 1,Koffing,Mousho,A1a,50,https://ptcgpocket.gg/cards/a1a-50-weezing
Purrloin,Pokemon,,Darkness,60,Scratch,,['darkness'],,20.0,,,,,,1,Grass,Common,Basic,,Kagemaru Himeno,A1a,51,https://ptcgpocket.gg/cards/a1a-51-purrloin
Liepard,Pokemon,,Darkness,90,Slash,,['darkness'],,40.0,,,,,,1,Grass,Common,Stage 1,Purrloin,GIDORA,A1a,52,https://ptcgpocket.gg/cards/a1a-52-liepard
Venipede,Pokemon,,Darkness,60,Ram,,['darkness'],,20.0,,,,,,1,Fighting,Common,Basic,,Yukiko Baba,A1a,53,https://ptcgpocket.gg/cards/a1a-53-venipede
Whirlipede,Pokemon,,Darkness,90,Poison Sting,,['darkness'],,20.0,,Your opponent's Active Pokémon is now Poisoned.,,,,2,Fighting,Common,Stage 1,Venipede,Shin Nagasawa,A1a,54,https://ptcgpocket.gg/cards/a1a-54-whirlipede
Scolipede,Pokemon,,Darkness,140,,,"['darkness', 'colorless']",,,,"If your opponent's Active Pokémon is Poisoned, this attack does 50 more damage.",,,,2,Fighting,Uncommon,Stage 2,Whirlipede,5ban Graphics,A1a,55,https://ptcgpocket.gg/cards/a1a-55-scolipede
Druddigon,Pokemon,,Dragon,100,Dragon Claw,,"['fire', 'water', 'colorless']",,90.0,,,,Rough Skin,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon, do 20 damage to the Attacking Pokémon.",2,,Uncommon,Basic,,Ryota Murayama,A1a,56,https://ptcgpocket.gg/cards/a1a-56-druddigon
Pidgey,Pokemon,,Colorless,50,Flap,,['colorless'],,20.0,,,,,,1,Lightning,Common,Basic,,Shigenori Negishi,A1a,57,https://ptcgpocket.gg/cards/a1a-57-pidgey
Pidgeotto,Pokemon,,Colorless,90,Wing Attack,,"['colorless', 'colorless', 'colorless']",,50.0,,,,,,1,Lightning,Common,Stage 1,Pidgey,Taiga Kayama,A1a,58,https://ptcgpocket.gg/cards/a1a-58-pidgeotto
Pidgeot-ex,Pokemon,,Colorless,170,,,"['colorless', 'colorless', 'colorless']",,,,This attack does 20 more damage for each of your opponent's Benched Pokémon.,,,,1,Lightning,Double Rare,Stage 2,Pidgeotto,PLANETA CG Works,A1a,59,https://ptcgpocket.gg/cards/a1a-59-pidgeot-ex
Tauros,Pokemon,,Colorless,100,,,"['colorless', 'colorless', 'colorless']",,,,If your opponent's Active Pokémon is a Pokémon more damage.,,,,2,Fighting,Rare,Basic,,KEIICHIRO ITO,A1a,60,https://ptcgpocket.gg/cards/a1a-60-tauros
Eevee,Pokemon,,Colorless,60,,,['colorless'],,,,Flip a coin until you get tails. This attack does 20 damage for each heads.,,,,1,Fighting,Common,Basic,,Hitoshi Ariga,A1a,61,https://ptcgpocket.gg/cards/a1a-61-eevee
Chatot,Pokemon,,Colorless,60,,,['colorless'],,,,Shuffle your hand into your deck. Draw a card for each card in your opponent's hand.,,,,1,Lightning,Common,Basic,,Masako Tomii,A1a,62,https://ptcgpocket.gg/cards/a1a-62-chatot
Blue,Supporter,"During your opponent's next turn, all of your Pokémon take −10 damage from attacks from your opponent's Pokémon.",,,,,,,,,,,,,,,Uncommon,,,Ryuta Fuse,A1a,67,https://ptcgpocket.gg/cards/a1a-67-blue
Leaf,Supporter,"During this turn, the Retreat Cost of your Active Pokémon is 2 less.",,,,,,,,,,,,,,,Uncommon,,,En Morikura,A1a,68,https://ptcgpocket.gg/cards/a1a-68-leaf
Exeggutor,Pokemon,,Grass,130,,,"['grass', 'colorless', 'colorless', 'colorless']",,,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,,,,3,Fire,Art Rare,Stage 1,Exeggcute,Gapao,A1a,69,https://ptcgpocket.gg/cards/a1a-69-exeggutor
Serperior,Pokemon,,Grass,110,Solar Beam,Pokémon provides,"['grass', 'colorless', 'colorless', 'colorless']",,70.0,2.0,,,Jungle Totem,Each grass Energy attached to your grass Pokémon provides 2 grass Energy. This effect doesn't stack.,2,Fire,Art Rare,Stage 2,Servine,rika,A1a,70,https://ptcgpocket.gg/cards/a1a-70-serperior
Salandit,Pokemon,,Fire,60,,,['colorless'],,,,"If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.",,,,1,Water,Art Rare,Basic,,Nurikabe,A1a,71,https://ptcgpocket.gg/cards/a1a-71-salandit
Vaporeon,Pokemon,,Water,120,Wave Splash,,"['water', 'colorless', 'colorless']",,60.0,,,,Wash Out,"As often as you like during your turn, you may move a water Energy from 1 of your Benched water Pokémon to your Active water Pokémon.",2,Lightning,Art Rare,Stage 1,Eevee,aspara,A1a,72,https://ptcgpocket.gg/cards/a1a-72-vaporeon
Dedenne,Pokemon,,Lightning,60,Thunder Shock,,['lightning'],,10.0,,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",,,,1,Fighting,Art Rare,Basic,,Yuu Nishida,A1a,73,https://ptcgpocket.gg/cards/a1a-73-dedenne
Marshadow,Pokemon,,Fighting,80,,,"['fighting', 'colorless']",,,,"If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.",,,,1,Psychic,Art Rare,Basic,,OKACHEKE,A1a,74,https://ptcgpocket.gg/cards/a1a-74-marshadow
